x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.06630647729999	38.9431631655	3634589	5253029	False	P039	PARK AT EXPIRED METER	3500 BLOCK VAN NESS ST NW NORTH SID	VA	4D	803449	2925.0	394252	141698	Parking_Violations_in_March_2012.csv	2012-03-02T18:11:00.000Z
-77.02885838129998	38.9025328562	13294131	9380708	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	1300 K ST NW BLOCK SOUTH SIDE	VA		807842	6721.0	397497	137186	Parking_Violations_in_January_2013.csv	2013-01-11T13:12:00.000Z
-77.02620483309998	38.8971735069	9477269	9531179	False	P280	EXPIRATION TIME ON METER RECEIPT LAPSED	1000 F ST NW BLOCK NORTH SIDE	VA		243409	11599.0	397727	136591	Parking_Violations_in_June_2012.csv	2012-06-11T12:01:00.000Z
-77.033246519	38.9181251333	10352026	13015014	False	P173	NO PARKING STREET CLEANING	1500 V ST NW	MD	4D	811679	10014.0	397117	138917	Parking_Violations_in_June_2013.csv	2013-06-24T09:45:00.000Z
-77.03945220119999	38.9007821373	1621385	4126607	False	P039	PARK AT EXPIRED METER	0900 BLOCK 17TH ST NW EAST SIDE	DC	4D	801824	1682.0	396578	136992	Parking_Violations_in_July_2012.csv	2012-07-19T14:27:00.000Z
-77.0348297361	38.9015853509	9172690	11398569	False	P002	STAND OR PARK IN ALLEY	900 15TH ST NW	MD	4D	279976	7180.0	396979	137081	Parking_Violations_in_May_2009.csv	2009-05-16T20:37:00.000Z
-77.0837873738	38.9475029456	1493913	1170506	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	4500 BLOCK 43RD ST NW EAST SIDE	DC	4D	801334	1302.0	392737	142181	Parking_Violations_in_August_2014.csv	2014-08-29T12:14:00.000Z
-77.0209121092	38.892084845700005	12317930	6491575	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	0600 BLOCK CONSTITUTION AV NW NORTH	PA	4D	804170	3597.0	398186	136026	Parking_Violations_in_June_2011.csv	2011-06-20T16:03:00.000Z
-77.0600967571	38.911295096799996	6276179	5539466	False	P055	NO PARKING ANYTIME	3000 BLOCK CAMBRIDGE PL NW SOUTH SI	MD	TK	803041	2741.0	394788	138160	Parking_Violations_in_February_2012.csv	2012-01-24T12:04:00.000Z
-77.0104325737	38.9601711098	3314656	4836566	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	UNIT BLOCK NICHOLSON ST NW SOUTH SI	MD	4D	804942	4264.0	399096	143584	Parking_Violations_in_April_2012.csv	2012-04-18T12:01:00.000Z
-77.0191529583	38.908723588	2114241	13563932	False	P173	NO PARKING STREET CLEANING	1400 5TH ST NW EAST SIDE	VA	4D	238853	491.0	398339	137873	Parking_Violations_in_August_2015.csv	2015-08-12T10:38:00.000Z
-77.0101237416	38.8979056851	9470113	8512157	False	P037	PARK OVERTIME AT A METER	0000 BLOCK MASSACHUSETTS AV NW NORT	DC	SW	800308	261.0	399122	136672	Parking_Violations_in_March_2010.csv	2010-03-18T14:38:00.000Z
-77.0209129041	38.8947963653	4426827	12652624	False	P170	FAILURE TO DISPLAY CURRENT TAGS	0700 BLOCK D ST NW SOUTH SIDE	DC	2D	807254	6220.0	398186	136327	Parking_Violations_in_January_2009.csv	2009-01-30T12:02:00.000Z
-77.0369406602	38.9039358836	8564890	855806	False	P001	PARK ABREAST OF ANOTHER VEHICLE	1100 16TH ST NW WEST SIDE	IN	TK	243076	3036.0	396796	137342	Parking_Violations_in_November_2014.csv	2014-11-06T12:39:00.000Z
