accidentindicator	address_id	agencyid	fineamt	location	objectid	penalty1	penalty2	row_	streetsegid	ticketissuedate	tickettype	totalpaid	violationcode	violationdesc	xcoord	y	ycoord	filename	﻿x
False	300368.0	25.0	125.0	2800 BLK NEW YORK AVE. NE E/B	1986242	125.0		2138872		2012-05-03T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	402915.72	38.9176546129	138864.78	Moving_Violations_in_May_2012.csv	-76.9663809737
False		25.0	125.0	I-295 AT EXIT 2 SE N/B	1116173	125.0		1199308	14693.0	2010-07-23T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	399373.44	38.8451703386	130817.96	Moving_Violations_in_July_2010.csv	-77.0072198386
False	150671.0	25.0	125.0	3300 BLK. E. CAPITOL ST. NE W/B	2836680			1568583	4592.0	2011-03-29T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	403468.69	38.890105241	135806.8	Moving_Violations_in_March_2011.csv	-76.9600200922
True	906720.0	3.0	25.0	12TH & U ST NW	3550764	25.0		550855	5163.0	2009-09-06T00:00:00.000Z	Moving	0.0	T751	OVERTAKING VEHICLE STOPPED AT XWALK FOR PEDESTRIAN	397564.510012	38.9170049504	138792.499998	Moving_Violations_in_September_2009.csv	-77.0280857836
False		25.0	125.0	DC295 SW .7 MILES S/O EXIT 1 S/B	1683731			2334141	6993.0	2012-07-11T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_July_2012.csv	-77.018353403
False		25.0	200.0	SUITLAND PKWY W/B @ STANTON RD SE	381848	200.0		3002699	3557.0	2014-04-02T00:00:00.000Z	Photo	0.0	T121	SPEED 21-25 MPH OVER THE SPEED LIMIT	401449.3426	38.8533051238	131721.086	Moving_Violations_in_April_2014.csv	-76.9833049061
False	300368.0	25.0	100.0	2800 BLK NEW YORK AVE NE E/B	1878859			3835817		2015-07-28T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	402915.72	38.9176546129	138864.78	Moving_Violations_in_July_2015.csv	-76.9663809737
False		25.0	100.0	3RD ST TUNNEL NW N/B @ MA AVE	3672436	100.0		3674666	6364.0	2015-05-29T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398788.1561	38.8990462901	136798.6603	Moving_Violations_in_May_2015.csv	-77.0139724698
False		25.0	150.0	DC295 SW .7 MILES S/O EXIT 1 S/B	3558463	150.0		2744104	6993.0	2012-10-27T00:00:00.000Z	Photo	0.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_October_2012.csv	-77.018353403
False		25.0	150.0	SE/SW FRWY @ 8TH ST EXIT SE (W/B)	310002			971488	14746.0	2010-04-10T00:00:00.000Z	Photo	150.0	T121	SPEED 21-25 MPH OVER THE SPEED LIMIT	400363.075	38.8789765637	134570.6801	Moving_Violations_in_April_2010.csv	-76.995817916
