x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0556536336	38.9356377872	2751928	81630	False	P037	PARK OVERTIME AT A METER	2700 BLOCK PORTER ST NW SOUTH SIDE	MD	UT	813039	11214.0	395175	140862	Parking_Violations_in_June_2015.csv	2015-06-09T17:59:00.000Z
-77.0275671776	38.902533168	10479076	1653120	False	P269	NO STANDING ANYTIME	1200 BLOCK K ST NW NORTH SIDE	VA	4D	807343	6297.0	397609	137186	Parking_Violations_in_April_2014.csv	2014-04-19T01:53:00.000Z
-76.9907647857	38.83730618	5394444	479596	False	P111	EXPIRED INSPECTION REJECTION STICKER	1200 BLOCK VALLEY AV SE NORTH SIDE	DC	VA	800765	561.0	400802	129945	Parking_Violations_in_April_2015.csv	2015-03-11T01:46:00.000Z
-77.0215921578	38.9300368684	13046324	4587833	False	P173	NO PARKING STREET CLEANING	600 BLOCK KENYON ST NW SOUTH SIDE	DC	2D	806833	5863.0	398128	140239	Parking_Violations_in_June_2012.csv	2012-06-05T07:10:00.000Z
-77.0800195119	38.9513971627	11955906	545258	False	P386	RELOCATE TOW FEE	4700 BELT RD NW WEST SIDE	DC	2D	814220	12255.0	393064	142613	Parking_Violations_in_April_2015.csv	2015-03-11T15:27:00.000Z
-77.0501368832	38.8978323057	3302117	3171972	False	P168	NO FRONT TAGS.	700 BLOCK 23RD ST NW EAST SIDE	VA	2D	801890	1524.0	395651	136665	Parking_Violations_in_February_2013.csv	2013-02-20T15:24:00.000Z
-77.0244610679	38.8882015462	9290120	12955162	False	P304	INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP	900 JEFFERSON DR SW	MD	4D	293260	3781.0	397878	135595	Parking_Violations_in_June_2015.csv	2015-06-07T16:46:00.000Z
-77.031109339	38.9091354	6008125	12076529	False	P159	NO STOPPING OR STANDING IN AM RUSH HOUR ZONE	1400 BLOCK RHODE ISLAND AV NW NORTH	MD	4D	810890	9336.0	397302	137919	Parking_Violations_in_July_2009.csv	2009-07-13T07:01:00.000Z
-77.0436079919	38.9099331462	4293311	8586754	False	P007	PARK IN A BUS ZONE	1300 BLOCK CONNECTICUT AV NW WEST S	MD	TK	800193	164.0	396218	138008	Parking_Violations_in_March_2010.csv	2010-03-09T12:45:00.000Z
-77.0199112162	38.8990665056	3894057	11698456	False	P280	EXPIRATION TIME ON METER RECEIPT LAPSED	0800 BLOCK 6TH ST NW WEST SIDE	DC	4D	813230	11371.0	398273	136801	Parking_Violations_in_November_2009.csv	2009-11-13T14:07:00.000Z
-76.9419926142	38.8997384378	5840376	3692325	False	P170	FAILURE TO DISPLAY CURRENT TAGS	4200 BLOCK HAYES ST NE SOUTH SIDE	MD	4D	807272	6236.0	405032	136877	Parking_Violations_in_November_2012.csv	2012-11-13T07:13:00.000Z
